Jugador,Nacimiento,Edad,Nación,Altura,Peso,PJ,Goles,Asistencias,TA,TAR,TR,Desde,De,BL,Número,Contrato,Selección,Club
Timo Horn,12.05.1993,30,Alemania,192,90,0,0,0,0,0,0,01.07.2002,SC Rondorf,201,1,30.06.2023,No,1 FC Koeln
Matthias Köbbing,28.05.1997,26,Alemania,196,90,0,0,0,0,0,0,01.07.2020,FC 08 Homburg,0,44,30.06.2025,No,1 FC Koeln
Julian Roloff,17.01.2001,22,Alemania,192,N.D.,0,0,0,0,0,0,15.01.2023,Cavalry FC,0,0,N.D.,No,1 FC Koeln
Marvin Schwäbe,25.04.1995,28,Alemania,190,87,34,0,0,1,0,0,01.07.2021,Bröndby IF,55,20,30.06.2024,No,1 FC Koeln
Julian Chabot,12.02.1998,25,Alemania,195,85,21,0,2,3,0,0,26.01.2022,Sampdoria Genua,25,24,30.06.2026,No,1 FC Koeln
Jonas Hector,27.05.1990,33,Alemania,185,75,32,0,2,3,0,0,01.07.2010,SV Auersmacher,228,14,30.06.2023,43,1 FC Koeln
Timo Hübers,20.07.1996,26,Alemania,190,82,29,3,0,8,0,0,01.07.2021,Hannover 96,54,4,30.06.2023,No,1 FC Koeln
Luca Kilian,01.09.1999,23,Alemania,192,91,16,1,0,1,2,0,24.08.2021,1. FSV Mainz 05,68,15,30.06.2025,No,1 FC Koeln
Kristian Pedersen,04.08.1994,28,Dinamarca,189,80,6,0,0,1,0,0,01.07.2022,Birmingham City,6,3,30.06.2024,1,1 FC Koeln
Benno Schmitz,17.11.1994,28,Alemania,182,75,31,1,1,6,0,0,01.07.2018,RB Leipzig,110,2,30.06.2024,No,1 FC Koeln
Nikola Soldo,25.01.2001,22,Croacia,189,78,7,0,0,1,0,0,01.09.2022,Lokomotiva Zagreb,7,5,30.06.2025,No,1 FC Koeln
Denis Huseinbasic,03.07.2001,21,Alemania,184,76,24,4,1,3,0,0,01.07.2022,Kickers Offenbach,24,8,30.06.2025,No,1 FC Koeln
