Jugador,Nacimiento,Edad,Nación,Altura,Peso,PJ,Goles,Asistencias,TA,TAR,TR,Desde,De,BL,Número,Contrato,Selección,Club
Florian Kainz,24.10.1992,30,Austria,176,72,32,6,11,4,1,0,18.01.2019,Werder Bremen,152,11,30.06.2025,23,1 FC Koeln
Tim Lemperle,05.02.2002,21,Alemania,187,78,12,0,0,0,0,0,01.07.2017,FSV Frankfurt,26,25,30.06.2025,No,1 FC Koeln
Dimitrios Limnios,27.05.1998,25,Grecia,180,71,2,0,0,0,0,0,01.07.2022,Twente Enschede,14,42,30.06.2024,24,1 FC Koeln
Dejan Ljubicic,08.10.1997,25,Austria,187,74,27,5,1,3,0,0,01.07.2021,Rapid Wien,57,7,30.06.2025,6,1 FC Koeln
Linton Maina,23.06.1999,23,Alemania,173,70,33,3,7,1,0,0,01.07.2022,Hannover 96,55,37,30.06.2025,No,1 FC Koeln
Eric Martel,29.04.2002,21,Alemania,188,81,29,1,1,6,0,0,01.07.2022,Austria Wien,29,6,30.06.2026,No,1 FC Koeln
Mathias Olesen,21.03.2001,22,Luxemburgo,188,80,14,0,0,1,0,0,01.07.2019,Eintracht Trier,17,47,30.06.2024,10,1 FC Koeln
Kingsley Schindler,12.07.1993,29,Ghana,183,77,29,0,2,4,0,0,01.07.2021,Hannover 96,60,17,30.06.2023,1,1 FC Koeln
Ellyes Skhiri,10.05.1995,28,Túnez,185,73,32,7,1,5,0,0,29.07.2019,Montpellier HSC,118,28,30.06.2023,54,1 FC Koeln
Jan Thielmann,26.05.2002,21,Alemania,178,72,23,2,3,5,0,0,01.07.2017,Eintracht Trier,88,29,30.06.2024,No,1 FC Koeln
Mark Uth,24.08.1991,31,Alemania,185,72,3,0,0,2,0,0,01.07.2021,FC Schalke 04,174,13,30.06.2025,1,1 FC Koeln
Sargis Adamyan,23.05.1993,30,Armenia,184,78,24,1,3,3,0,0,05.07.2022,Club Brügge,70,23,30.06.2026,36,1 FC Koeln
Sebastian Andersson,15.07.1991,31,Suecia,190,86,0,0,0,0,0,0,15.09.2020,1. FC Union Berlin,0,9,30.06.2023,9,1 FC Koeln
Florian Dietz,03.08.1998,24,Alemania,190,83,11,1,0,1,0,0,10.08.2020,SpVgg Unterhaching,11,33,30.06.2025,No,1 FC Koeln
Davie Selke,20.01.1995,28,Alemania,194,88,30,6,2,3,0,0,02.01.2023,Hertha BSC,219,27,30.06.2024,No,1 FC Koeln
Steffen Tigges,31.07.1998,24,Alemania,193,90,30,6,2,1,0,0,01.07.2022,Borussia Dortmund,45,21,30.06.2026,No,1 FC Koeln
Kingsley Ehizibue,25.05.1995,28,Países Bajos,189,83,1,0,0,0,0,0,30.08.2022,1. FC Köln,69,19,N.D.,No,1 FC Koeln
Ondrej Duda,05.12.1994,28,Eslovaquia,181,74,13,0,0,4,0,0,29.01.2023,1. FC Köln,135,18,N.D.,63,1 FC Koeln
Justin Diehl,27.11.2004,18,Alemania,N.D.,N.D.,2,0,0,0,0,0,01.07.2011,1. FC Köln,2,49,N.D.,No,1 FC Koeln
Finn Dahmen,27.03.1998,25,Alemania,188,83,7,0,0,0,0,0,01.07.2008,Eintracht Frankfurt,12,1,30.06.2023,No,1 FSV Mainz 05
Lasse Rieß,27.07.2001,21,Alemania,192,90,0,0,0,0,0,0,01.07.2012,FSV Nieder-Olm,0,32,30.06.2025,No,1 FSV Mainz 05
Robin Zentner,28.10.1994,28,Alemania,194,96,26,0,0,1,0,0,01.07.2017,Holstein Kiel,136,27,30.06.2025,No,1 FSV Mainz 05
Aaron,22.04.1997,26,España,178,70,27,5,3,3,0,0,01.07.2021,Celta Vigo,115,3,30.06.2023,No,1 FSV Mainz 05
Stefan Bell,24.08.1991,31,Alemania,192,88,29,0,1,9,0,0,19.01.2012,Eintracht Frankfurt,255,16,30.06.2024,No,1 FSV Mainz 05
Anthony Caci,01.07.1997,25,Francia,185,76,30,2,2,4,0,0,01.07.2022,Racing Straßburg,30,19,N.D.,No,1 FSV Mainz 05
Danny da Costa,13.07.1993,29,Alemania,187,87,23,0,2,0,0,0,01.07.2022,Eintracht Frankfurt,155,21,N.D.,No,1 FSV Mainz 05
Edimilson Fernandes,15.04.1996,27,Suiza,187,77,31,0,2,3,0,0,01.07.2022,Young Boys Bern,76,20,N.D.,26,1 FSV Mainz 05
Alexander Hack,08.09.1993,29,Alemania,193,88,19,0,0,2,0,1,21.07.2014,SpVgg Unterhaching,133,42,30.06.2024,No,1 FSV Mainz 05
Andreas Hanche-Olsen,17.01.1997,26,Noruega,185,82,16,0,3,5,0,0,13.01.2023,KAA Gent,16,25,30.06.2026,14,1 FSV Mainz 05
Maxim Leitsch,18.05.1998,25,Alemania,189,83,9,0,0,0,0,0,01.07.2022,VfL Bochum,28,5,N.D.,No,1 FSV Mainz 05
Silvan Widmer,05.03.1993,30,Suiza,183,80,26,2,3,0,0,0,09.07.2021,FC Basel,59,30,30.06.2026,39,1 FSV Mainz 05
Aymen Barkok,21.05.1998,25,Marruecos,189,82,22,0,1,1,0,0,01.07.2022,Eintracht Frankfurt,95,4,N.D.,18,1 FSV Mainz 05
Leandro Barreiro,03.01.2000,23,Luxemburgo,174,68,30,4,5,5,0,0,01.07.2016,C Erpeldange 72,109,8,30.06.2024,45,1 FSV Mainz 05
Dominik Kohr,31.01.1994,29,Alemania,183,80,29,3,0,11,0,0,18.01.2021,Eintracht Frankfurt,246,31,30.06.2026,No,1 FSV Mainz 05
Jae-Sung Lee,10.08.1992,30,Corea del Sur,181,74,33,7,5,2,0,0,01.07.2021,Holstein Kiel,60,7,30.06.2024,70,1 FSV Mainz 05
Eniss Shabani,29.05.2003,19,Alemania,181,79,1,0,0,1,0,0,01.01.2015,TSG Wieseck,1,41,30.06.2025,No,1 FSV Mainz 05
Anton Stach,15.11.1998,24,Alemania,194,88,29,1,4,4,0,0,31.07.2021,SpVgg Greuther Fürth,58,6,30.06.2024,2,1 FSV Mainz 05
Ludovic Ajorque,25.02.1994,29,Francia,196,93,17,6,3,5,0,0,24.01.2023,Racing Straßburg,17,17,30.06.2026,No,1 FSV Mainz 05
Delano Burgzorg,07.11.1998,24,Países Bajos,186,83,13,0,1,2,0,0,29.01.2022,Heracles Almelo,16,37,30.06.2025,No,1 FSV Mainz 05
Jonathan Burkardt,11.07.2000,22,Alemania,181,79,11,1,2,2,0,0,01.07.2014,SV Darmstadt 98,86,29,30.06.2024,No,1 FSV Mainz 05
Brajan Gruda,31.05.2004,18,Alemania,178,70,2,0,0,0,0,0,01.07.2018,Karlsruher SC,2,43,N.D.,No,1 FSV Mainz 05
Marcus Ingvartsen,04.01.1996,27,Dinamarca,186,82,27,10,0,2,0,0,30.08.2021,1. FC Union Berlin,113,11,30.06.2025,1,1 FSV Mainz 05
Marlon Mustapha,24.05.2001,22,Austria,183,82,5,0,0,1,0,0,01.07.2022,FC Admira Wacker,5,36,N.D.,No,1 FSV Mainz 05
Karim Onisiwo,17.03.1992,31,Austria,188,85,30,9,5,4,0,0,05.01.2016,SV Mattersburg,183,9,30.06.2026,21,1 FSV Mainz 05
Angelo Fulgini,20.08.1996,26,Francia,183,71,16,0,1,1,0,0,31.01.2023,1. FSV Mainz 05,16,10,N.D.,No,1 FSV Mainz 05
Niklas Tauer,17.02.2001,22,Alemania,183,74,3,0,0,0,0,0,01.01.2023,1. FSV Mainz 05,19,17,30.06.2024,No,1 FSV Mainz 05
Nelson Weiper,17.03.2005,18,Alemania,191,82,9,2,0,0,0,0,01.07.2012,1. FSV Mainz 05,9,44,N.D.,No,1 FSV Mainz 05
Jakob Busk,12.09.1993,29,Dinamarca,189,85,0,0,0,0,0,0,15.01.2016,Sandefjord Fotball,0,12,30.06.2024,No,1 FC Union Berlin
Lennart Grill,25.01.1999,24,Alemania,192,84,5,0,0,0,0,0,01.07.2022,Bayer 04 Leverkusen,10,37,N.D.,No,1 FC Union Berlin
Frederik Rönnow,04.08.1992,30,Dinamarca,190,81,29,0,1,2,0,0,20.07.2021,FC Schalke 04,58,1,30.06.2024,8,1 FC Union Berlin
Timo Baumgartl,04.03.1996,27,Alemania,192,88,8,0,1,2,0,0,01.07.2021,PSV Eindhoven,119,25,30.06.2023,No,1 FC Union Berlin
Diogo Leite,23.01.1999,24,Portugal,190,82,28,0,1,6,0,1,16.07.2022,FC Porto,28,4,30.06.2023,No,1 FC Union Berlin
Danilho Doekhi,30.06.1998,24,Países Bajos,190,86,25,5,2,0,0,0,01.07.2022,Vitesse Arnhem,25,5,N.D.,No,1 FC Union Berlin
Niko Gießelmann,26.09.1991,31,Alemania,182,76,26,0,2,4,0,0,15.07.2020,Fortuna Düsseldorf,122,23,30.06.2023,No,1 FC Union Berlin
Paul Jaeckel,22.07.1998,24,Alemania,189,84,16,1,0,2,1,0,01.07.2021,SpVgg Greuther Fürth,43,3,30.06.2024,No,1 FC Union Berlin
Josip Juranovic,16.08.1995,27,Croacia,173,68,12,2,1,0,0,0,22.01.2023,Celtic Glasgow,12,18,N.D.,29,1 FC Union Berlin
Robin Knoche,22.05.1992,31,Alemania,190,83,32,2,3,4,0,0,04.08.2020,VfL Wolfsburg,282,31,30.06.2024,0,1 FC Union Berlin
Jerome Roussillon,06.01.1993,30,Guadalupe,172,82,20,0,2,2,0,0,12.01.2023,VfL Wolfsburg,123,26,30.06.2025,2,1 FC Union Berlin
Christopher Trimmel,24.02.1987,36,Austria,189,78,25,0,6,1,0,0,01.07.2014,Rapid Wien,113,28,30.06.2024,25,1 FC Union Berlin
Janik Haberer,02.04.1994,29,Alemania,186,80,32,5,2,1,0,0,01.07.2022,SC Freiburg,190,19,N.D.,No,1 FC Union Berlin
Aljoscha Kemlein,02.08.2004,18,Alemania,185,78,0,0,0,0,0,0,01.07.2016,SC Berliner Amateure,0,36,N.D.,No,1 FC Union Berlin
Rani Khedira,27.01.1994,29,Alemania,188,85,33,2,0,8,0,0,01.07.2021,FC Augsburg,203,8,N.D.,No,1 FC Union Berlin
Aissa Laidouni,13.12.1996,26,Túnez,181,75,14,2,1,4,0,0,27.01.2023,Ferencvaros Budapest,14,20,30.06.2025,No,1 FC Union Berlin
Tim Maciejewski,05.03.2001,22,Alemania,185,73,0,0,0,0,0,0,01.07.2022,Austria Klagenfurt,0,16,30.06.2023,No,1 FC Union Berlin
Kevin Möhwald,03.07.1993,29,Alemania,183,77,16,0,0,2,0,0,30.08.2021,Werder Bremen,67,30,30.06.2024,No,1 FC Union Berlin
Levin Öztunali,15.03.1996,27,Alemania,184,78,2,0,1,0,0,0,01.07.2021,1. FSV Mainz 05,190,7,30.06.2023,No,1 FC Union Berlin
Milos Pantovic,07.07.1996,26,Serbia,185,70,13,1,0,1,0,0,01.07.2022,VfL Bochum,42,32,30.06.2024,No,1 FC Union Berlin
Andras Schäfer,13.04.1999,24,Hungría,179,70,16,0,0,0,0,0,21.01.2022,DAC Dunajska Streda,24,13,N.D.,22,1 FC Union Berlin
Paul Seguin,29.03.1995,28,Alemania,186,79,20,1,3,4,0,0,01.07.2022,SpVgg Greuther Fürth,73,14,30.06.2025,No,1 FC Union Berlin
Morten Thorsby,05.05.1996,27,Noruega,188,83,24,1,1,3,0,0,19.07.2022,Sampdoria Genua,24,2,30.06.2025,17,1 FC Union Berlin
Sheraldo Becker,09.02.1995,28,Suriname,180,78,34,11,8,4,0,0,01.07.2019,ADO Den Haag,93,27,30.06.2024,6,1 FC Union Berlin
Kevin Behrens,03.02.1991,32,Alemania,185,85,33,8,3,6,0,0,01.07.2021,SV Sandhausen,57,17,30.06.2024,No,1 FC Union Berlin
Jordan Siebatcheu,26.04.1996,27,Estados Unidos,190,84,31,4,3,3,0,0,01.07.2022,Young Boys Bern,31,45,N.D.,9,1 FC Union Berlin
Jamie Leweling,26.02.2001,22,Alemania,186,85,16,1,1,1,0,0,01.07.2022,SpVgg Greuther Fürth,49,40,N.D.,No,1 FC Union Berlin
Sven Michel,15.07.1990,32,Alemania,179,80,21,3,1,2,0,0,31.01.2022,SC Paderborn 07,63,11,30.06.2024,No,1 FC Union Berlin
Tymoteusz Puchacz,23.01.1999,24,Polonia,183,78,1,0,0,0,0,0,01.01.2023,1. FC Union Berlin,1,26,N.D.,12,1 FC Union Berlin
Julian Ryerson,17.11.1997,25,Noruega,183,81,30,1,2,4,0,0,17.01.2023,1. FC Union Berlin,96,6,30.06.2026,17,1 FC Union Berlin
Genki Haraguchi,09.05.1991,32,Japón,176,70,22,0,2,1,0,0,30.01.2023,1. FC Union Berlin,171,24,30.06.2024,74,1 FC Union Berlin
Tim Skarke,07.09.1996,26,Alemania,180,70,12,1,1,1,0,0,23.01.2023,1. FC Union Berlin,12,21,30.06.2023,No,1 FC Union Berlin
Lukas Hradecky,24.11.1989,33,Finlandia,192,85,33,0,0,0,0,1,01.07.2018,Eintracht Frankfurt,261,1,30.06.2026,83,Bayer 04 Leverkusen
Niklas Lomb,28.07.1993,29,Alemania,186,83,0,0,0,0,0,0,01.07.2019,SV Sandhausen,2,36,30.06.2024,No,Bayer 04 Leverkusen
Andrey Lunev,13.11.1991,31,Rusia,193,80,1,0,0,0,0,0,10.07.2021,Zenit St. Petersburg,2,40,30.06.2023,7,Bayer 04 Leverkusen
Patrick Pentz,02.01.1997,26,Austria,183,72,0,0,0,0,0,0,27.01.2023,Stade Reims,0,28,30.06.2025,4,Bayer 04 Leverkusen
Mitchel Bakker,20.06.2000,22,Países Bajos,185,85,28,3,2,4,1,0,12.07.2021,Paris St. Germain,53,5,30.06.2025,No,Bayer 04 Leverkusen
Timothy Fosu-Mensah,02.01.1998,25,Países Bajos,190,78,11,0,0,1,0,0,13.01.2021,Manchester United,23,24,30.06.2024,3,Bayer 04 Leverkusen
Jeremie Frimpong,10.12.2000,22,Países Bajos,175,70,34,8,8,4,0,0,27.01.2021,Celtic Glasgow,69,30,30.06.2025,0,Bayer 04 Leverkusen
Piero Hincapie,09.01.2002,21,Ecuador,184,66,30,1,1,9,2,1,16.08.2021,Talleres Cordoba,57,3,30.06.2027,26,Bayer 04 Leverkusen
Odilon Kossounou,04.01.2001,22,Costa de Marfil,190,78,24,0,1,3,0,0,22.07.2021,Club Brügge,51,6,30.06.2025,17,Bayer 04 Leverkusen
Daley Sinkgraven,04.07.1995,27,Países Bajos,179,67,12,0,2,1,0,0,01.07.2019,Ajax Amsterdam,59,22,30.06.2023,No,Bayer 04 Leverkusen
Jonathan Tah,11.02.1996,27,Alemania,195,97,33,1,0,6,0,0,16.07.2015,Fortuna Düsseldorf,243,4,30.06.2025,16,Bayer 04 Leverkusen
Edmond Tapsoba,02.02.1999,24,Burkina Faso,192,84,33,1,1,5,0,0,31.01.2020,Vitoria Guimaraes,100,12,30.06.2026,35,Bayer 04 Leverkusen
Nadiem Amiri,27.10.1996,26,Alemania,180,73,25,4,1,6,0,0,01.07.2022,CFC Genua 1893,203,11,30.06.2024,5,Bayer 04 Leverkusen
Robert Andrich,22.09.1994,28,Alemania,187,85,29,2,2,8,0,0,16.08.2021,1. FC Union Berlin,114,8,30.06.2026,No,Bayer 04 Leverkusen
Ayman Azhil,10.04.2001,22,Alemania,170,64,1,0,0,0,0,0,01.07.2022,RKC Waalwijk,1,32,30.06.2023,No,Bayer 04 Leverkusen
Kerem Demirbay,03.07.1993,29,Alemania,183,71,25,4,2,5,0,0,01.07.2019,TSG Hoffenheim,184,10,30.06.2024,2,Bayer 04 Leverkusen
Joshua Eze,20.03.2003,20,Alemania,181,78,0,0,0,0,0,0,01.07.2010,Bayer 04 Leverkusen,0,35,30.06.2024,No,Bayer 04 Leverkusen
Noah Mbamba,05.01.2005,18,Bélgica,187,75,1,0,0,0,0,0,14.01.2023,Club Brügge,1,18,30.06.2028,No,Bayer 04 Leverkusen
Exequiel Palacios,05.10.1998,24,Argentina,178,71,25,4,2,4,0,0,01.01.2020,River Plate,60,25,30.06.2025,24,Bayer 04 Leverkusen
Florian Wirtz,03.05.2003,20,Alemania,176,69,17,1,6,4,0,0,31.01.2020,1. FC Köln,77,27,30.06.2027,6,Bayer 04 Leverkusen
Amine Adli,10.05.2000,23,Francia,174,60,26,5,6,2,0,2,26.08.2021,FC Toulouse,51,21,30.06.2026,No,Bayer 04 Leverkusen
Sardar Azmoun,01.01.1995,28,Irán,186,79,23,4,1,1,0,0,30.01.2022,Zenit St. Petersburg,32,9,30.06.2027,68,Bayer 04 Leverkusen
Karim Bellarabi,08.04.1990,33,Alemania,184,81,8,0,0,0,0,0,01.07.2014,Eintracht Braunschweig,241,38,30.06.2023,11,Bayer 04 Leverkusen
Moussa Diaby,07.07.1999,23,Francia,171,68,33,9,9,4,0,0,01.07.2019,Paris St. Germain,125,19,30.06.2025,10,Bayer 04 Leverkusen
Adam Hlozek,25.07.2002,20,Chequia,188,74,29,5,5,2,0,0,01.07.2022,Sparta Prag,29,23,30.06.2027,21,Bayer 04 Leverkusen
Callum Hudson-Odoi,07.11.2000,22,Inglaterra,182,76,14,0,1,0,0,0,30.08.2022,FC Chelsea,14,17,30.06.2023,3,Bayer 04 Leverkusen
Patrik Schick,24.01.1996,27,Chequia,191,85,14,3,1,0,0,0,08.09.2020,AS Rom,92,14,30.06.2027,35,Bayer 04 Leverkusen
Charles Aranguiz,17.04.1989,34,Chile,171,68,10,1,0,1,0,0,02.04.2023,Bayer 04 Leverkusen,168,20,N.D.,97,Bayer 04 Leverkusen
Paulinho,15.07.2000,22,Brasil,177,77,4,1,0,0,0,0,01.01.2023,Atletico Mineiro,57,7,N.D.,No,Bayer 04 Leverkusen
Joel Pohjanpalo,13.09.1994,28,Finlandia,186,84,1,0,0,0,0,0,19.08.2022,Bayer 04 Leverkusen,42,17,N.D.,61,Bayer 04 Leverkusen
Jan Olschowsky,18.11.2001,21,Alemania,182,79,4,0,0,0,0,0,01.07.2009,SV Glehn,4,41,30.06.2027,No,Bor Moenchengladbach
Jonas Omlin,10.01.1994,29,Suiza,189,80,15,0,0,0,0,0,19.01.2023,Montpellier HSC,15,1,30.06.2027,4,Bor Moenchengladbach
Tobias Sippel,22.03.1988,35,Alemania,183,80,6,0,0,1,0,0,01.07.2015,1. FC Kaiserslautern,54,21,30.06.2024,0,Bor Moenchengladbach
Ramy Bensebaini,16.04.1995,28,Argelia,186,82,28,6,2,5,1,0,14.08.2019,Stade Rennes,95,25,30.06.2023,53,Bor Moenchengladbach
Mamadou Doucouré,21.05.1998,25,Francia,183,78,0,0,0,0,0,0,01.07.2016,Paris St. Germain,0,4,30.06.2024,No,Bor Moenchengladbach
Nico Elvedi,30.09.1996,26,Suiza,189,81,32,3,0,2,0,0,01.07.2015,FC Zürich,230,30,30.06.2024,45,Bor Moenchengladbach
Marvin Friedrich,13.12.1995,27,Alemania,192,83,23,1,0,2,0,0,11.01.2022,1. FC Union Berlin,116,5,30.06.2026,No,Bor Moenchengladbach
Tony Jantschke,07.04.1990,33,Alemania,177,76,8,0,0,0,0,0,01.07.2006,SC Borea Dresden,243,24,30.06.2024,No,Bor Moenchengladbach
Stefan Lainer,27.08.1992,30,Austria,175,73,17,0,0,2,0,0,01.07.2019,RB Salzburg,102,18,30.06.2024,38,Bor Moenchengladbach
Luca Netz,15.05.2003,20,Alemania,180,85,20,1,3,0,0,0,06.08.2021,Hertha BSC,55,20,30.06.2026,No,Bor Moenchengladbach
Joe Scally,31.12.2002,20,Estados Unidos,184,80,28,0,0,2,0,0,02.01.2021,New York City FC,58,29,30.06.2027,4,Bor Moenchengladbach
Oscar Fraulo,06.12.2003,19,Dinamarca,180,77,2,0,0,0,0,0,01.07.2022,FC Midtjylland,2,22,30.06.2026,No,Bor Moenchengladbach
Jonas Hofmann,14.07.1992,30,Alemania,176,73,31,12,11,2,0,0,01.01.2016,Borussia Dortmund,232,23,30.06.2025,19,Bor Moenchengladbach
Ko Itakura,27.01.1997,26,Japón,186,75,24,0,2,1,0,2,02.07.2022,FC Schalke 04,24,3,30.06.2026,18,Bor Moenchengladbach
Kouadio Koné,17.05.2001,22,Francia,185,80,30,1,1,12,0,0,01.07.2021,FC Toulouse,57,17,30.06.2025,No,Bor Moenchengladbach
Christoph Kramer,19.02.1991,32,Alemania,191,76,29,0,1,4,0,0,01.07.2016,Bayer 04 Leverkusen,257,6,30.06.2025,12,Bor Moenchengladbach
Florian Neuhaus,16.03.1997,26,Alemania,185,77,23,1,0,2,0,0,01.07.2018,Fortuna Düsseldorf,147,32,30.06.2024,10,Bor Moenchengladbach
Nathan Ngoumou,14.03.2000,23,Francia,183,74,20,1,0,0,0,0,30.08.2022,FC Toulouse,20,19,30.06.2027,No,Bor Moenchengladbach
Conor Noß,01.01.2001,22,Irlanda,181,72,0,0,0,0,0,0,01.07.2009,Sportfreunde Vorst,3,34,30.06.2024,No,Bor Moenchengladbach
Lars Stindl,26.08.1988,34,Alemania,181,80,29,8,7,9,0,0,01.07.2015,Hannover 96,376,13,30.06.2023,11,Bor Moenchengladbach
Julian Weigl,08.09.1995,27,Alemania,186,71,23,1,1,6,0,0,01.09.2022,Benfica Lissabon,139,8,30.06.2028,6,Bor Moenchengladbach
Hannes Wolf,16.04.1999,24,Austria,179,69,18,1,1,0,0,0,01.07.2022,Swansea City,62,11,30.06.2024,0,Bor Moenchengladbach
Yvandro Borges Sanches,24.05.2004,19,Luxemburgo,176,66,3,0,0,0,0,0,01.07.2020,RFC Union Luxemburg,3,38,N.D.,18,Bor Moenchengladbach
Patrick Herrmann,12.02.1991,32,Alemania,179,71,21,1,0,2,0,0,01.07.2008,1. FC Saarbrücken,343,7,30.06.2024,No,Bor Moenchengladbach
Jacob Italiano,30.07.2001,21,Australia,177,71,0,0,0,0,0,0,01.07.2019,Perth Glory,0,35,N.D.,No,Bor Moenchengladbach
Alassane Plea,10.03.1993,30,Francia,181,79,29,2,9,5,0,0,13.07.2018,OGC Nizza,152,14,30.06.2025,1,Bor Moenchengladbach
Marcus Thuram,06.08.1997,25,Francia,192,88,30,13,7,3,0,0,22.07.2019,EA Guingamp,111,10,30.06.2023,10,Bor Moenchengladbach
Yann Sommer,17.12.1988,34,Suiza,183,79,29,0,0,1,0,0,19.01.2023,Bor. Mönchengladbach,291,1,30.06.2025,82,Bor Moenchengladbach
Rocco Reitz,29.05.2002,21,Alemania,176,75,1,0,0,0,0,0,17.01.2023,Bor. Mönchengladbach,3,27,N.D.,No,Bor Moenchengladbach
Semir Telalovic,23.12.1999,23,Alemania,N.D.,N.D.,3,0,0,0,0,0,20.01.2022,FV Illertissen,3,48,N.D.,No,Bor Moenchengladbach
Matteo Bignetti,06.05.2004,19,Austria,190,76,0,0,0,0,0,0,01.07.2020,Sturm Graz,0,43,30.06.2023,No,Eintracht Frankfurt
Jens Grahl,22.09.1988,34,Alemania,192,88,0,0,0,0,0,0,19.07.2021,VfB Stuttgart,13,31,30.06.2026,No,Eintracht Frankfurt
Jannik Horz,14.04.2003,20,Alemania,193,82,0,0,0,0,0,0,01.07.2017,Kickers Offenbach,0,47,30.06.2023,No,Eintracht Frankfurt
Diant Ramaj,19.09.2001,21,Alemania,189,81,1,0,0,0,0,0,01.07.2021,1. FC Heidenheim,2,40,30.06.2027,No,Eintracht Frankfurt
Simon Simoni,14.07.2004,18,Albania,192,N.D.,0,0,0,0,0,0,01.01.2023,Dinamo Tirana,0,41,30.06.2027,No,Eintracht Frankfurt
Kevin Trapp,08.07.1990,32,Alemania,189,84,33,0,0,3,0,0,07.08.2019,Paris St. Germain,267,1,30.06.2026,6,Eintracht Frankfurt
Aurelio Buta,10.02.1997,26,Portugal,172,66,18,3,3,3,0,0,01.07.2022,Royal Antwerp FC,18,24,30.06.2026,No,Eintracht Frankfurt
Timothy Chandler,29.03.1990,33,Estados Unidos,187,84,6,0,0,0,0,0,01.07.2014,1. FC Nürnberg,253,22,30.06.2025,No,Eintracht Frankfurt
Makoto Hasebe,18.01.1984,39,Japón,180,72,18,0,0,1,0,0,01.07.2014,1. FC Nürnberg,376,20,30.06.2024,114,Eintracht Frankfurt
Christopher Lenz,22.09.1994,28,Alemania,180,81,24,0,2,1,0,0,01.07.2021,1. FC Union Berlin,92,25,30.06.2024,No,Eintracht Frankfurt
Philipp Max,30.09.1993,29,Alemania,177,74,10,0,1,1,0,0,31.01.2023,PSV Eindhoven,157,32,30.06.2026,3,Eintracht Frankfurt
Evan Ndicka,20.08.1999,23,Francia,192,82,30,1,0,4,0,0,05.07.2018,AJ Auxerre,134,2,N.D.,No,Eintracht Frankfurt
Fynn Otto,08.03.2002,21,Alemania,192,85,0,0,0,0,0,0,01.07.2022,Hallescher FC,0,42,30.06.2023,No,Eintracht Frankfurt
Jan Schröder,15.04.2003,20,Alemania,180,73,0,0,0,0,0,0,01.07.2017,KSV Klein-Karben,0,49,30.06.2023,No,Eintracht Frankfurt
Hrvoje Smolcic,17.08.2000,22,Croacia,183,80,9,0,0,0,0,0,01.07.2022,HNK Rijeka,9,5,30.06.2027,No,Eintracht Frankfurt
Almamy Toure,28.04.1996,27,Malí,183,81,7,0,1,1,0,0,31.01.2019,AS Monaco,60,18,30.06.2023,0,Eintracht Frankfurt
Lucas Silva Melo,04.07.1999,23,Brasil,185,81,31,2,1,8,0,0,01.07.2020,KV Kortrijk,76,35,30.06.2026,No,Eintracht Frankfurt
Paxten Aaronson,22.04.1997,26,España,178,70,28,5,3,3,0,0,01.07.2021,Celta Vigo,116,3,30.06.2023,No,Eintracht Frankfurt
Eric Junior Dina Ebimbe,21.11.2000,22,Francia,183,76,19,3,1,4,0,0,21.08.2022,Paris St. Germain,19,26,30.06.2023,No,Eintracht Frankfurt
Mario Götze,03.06.1992,30,Alemania,176,75,32,3,3,6,0,0,01.07.2022,PSV Eindhoven,263,27,30.06.2025,66,Eintracht Frankfurt
