Jugador,Nacimiento,Edad,Nación,Altura,Peso,PJ,Goles,Asistencias,TA,TAR,TR,Desde,De,BL,Número,Contrato,Selección,Club
Leon Goretzka,06.02.1995,30,Alemania,189,82,14,0,0,4,0,0,01.07.2018,FC Schalke 04,310,8,30.06.2026,67,FC Bayern Muenchen
Lennart Karl,22.02.2008,17,Alemania,169,67,13,3,2,0,0,0,01.07.2022,Viktoria Aschaffenburg,13,42,N.D.,No,FC Bayern Muenchen
Joshua Kimmich,08.02.1995,30,Alemania,177,75,13,1,5,3,0,0,01.07.2015,RB Leipzig,308,6,30.06.2029,106,FC Bayern Muenchen
Jamal Musiala,26.02.2003,22,Alemania,184,72,0,0,0,0,0,0,04.07.2019,FC Chelsea,139,10,30.06.2030,40,FC Bayern Muenchen
Michael Olise,12.12.2001,24,Francia,184,78,15,7,9,3,0,0,07.07.2024,Crystal Palace,49,17,30.06.2029,13,FC Bayern Muenchen
Aleksandar Pavlovic,03.05.2004,21,Alemania,188,78,12,1,1,2,0,0,01.07.2011,SC Fürstenfeldbruck,52,45,30.06.2029,9,FC Bayern Muenchen
Nicolas Jackson,20.06.2001,24,Senegal,187,79,12,3,0,0,0,0,01.09.2025,FC Chelsea,12,11,30.06.2026,29,FC Bayern Muenchen
Harry Kane,28.07.1993,32,Inglaterra,188,86,15,19,5,0,0,0,12.08.2023,Tottenham Hotspur,78,9,30.06.2027,112,FC Bayern Muenchen
Luis Diaz,13.01.1997,28,Colombia,180,74,14,8,6,5,0,0,30.07.2025,FC Liverpool,14,14,30.06.2029,70,FC Bayern Muenchen
Cassiano Kiala,11.01.2009,16,Alemania,186,N.D.,1,0,0,0,0,0,01.07.2024,Hertha BSC,1,30,N.D.,No,FC Bayern Muenchen
David Daiber,10.01.2007,18,Portugal,185,N.D.,1,0,0,0,0,0,01.07.2016,TSV Milbertshofen,1,47,N.D.,No,FC Bayern Muenchen
Jonah Kusi-Asare,04.07.2007,18,Suecia,196,70,0,0,0,0,0,0,02.09.2025,Bayern München,2,41,N.D.,No,FC Bayern Muenchen
Wisdom Mike,24.09.2008,17,Alemania,174,N.D.,3,0,0,0,0,0,01.07.2022,Bor. Mönchengladbach,3,36,N.D.,No,FC Bayern Muenchen
Fernando Dickes,13.10.2007,18,Alemania,193,89,0,0,0,0,0,0,01.07.2025,RB Leipzig,0,41,N.D.,No,Hamburger SV
Hannes Hermann,23.03.2005,20,Alemania,189,77,0,0,0,0,0,0,01.07.2016,SV Eichede,0,40,N.D.,No,Hamburger SV
Daniel Heuer Fernandes,13.11.1992,33,Portugal,188,81,15,0,0,1,0,0,01.07.2019,SV Darmstadt 98,22,1,30.06.2026,No,Hamburger SV
Daniel Peretz,10.07.2000,25,Israel,190,89,0,0,0,0,0,0,21.07.2025,Bayern München,4,26,30.06.2026,10,Hamburger SV
Daniel Elfadli,06.04.1997,28,Libia,188,78,11,0,0,2,0,0,01.07.2024,1. FC Magdeburg,11,8,N.D.,5,Hamburger SV
Giorgi Gocholeishvili,14.02.2001,24,Georgia,178,70,12,0,1,0,1,0,07.08.2025,Schachtar Donezk,12,16,30.06.2026,19,Hamburger SV
Silvan Hefti,25.10.1997,28,Suiza,183,80,0,0,0,0,0,0,04.08.2024,CFC Genua 1893,0,30,N.D.,No,Hamburger SV
Noah Katterbach,13.04.2001,24,Alemania,180,74,0,0,0,0,0,0,31.01.2024,1. FC Köln,40,3,N.D.,No,Hamburger SV
William Mikelbrencis,25.02.2004,21,Francia,176,64,12,0,0,0,0,0,31.08.2022,FC Metz,12,2,30.06.2026,No,Hamburger SV
Miro Muheim,24.03.1998,27,Suiza,182,77,15,0,3,2,0,0,01.07.2021,FC St. Gallen 1879,15,28,30.06.2027,6,Hamburger SV
Warmed Omari,23.04.2000,25,Comoras,185,74,5,0,0,0,0,0,07.08.2025,Stade Rennes,5,17,30.06.2026,11,Hamburger SV
Guilherme Ramos,11.08.1997,28,Portugal,191,86,6,0,0,0,0,0,01.07.2025,CD Santa Clara,19,13,30.06.2026,No,Hamburger SV
Aboubaka Soumahoro,04.02.2005,20,Francia,184,78,4,0,0,1,0,0,03.02.2025,FC Paris,4,22,30.06.2029,No,Hamburger SV
Jordan Torunarigha,07.08.1997,28,Nigeria,191,83,7,0,0,0,0,0,01.07.2025,KAA Gent,80,25,N.D.,1,Hamburger SV
Luka Vuskovic,24.02.2007,18,Croacia,193,86,13,2,0,3,0,0,29.08.2025,Tottenham Hotspur,13,44,30.06.2026,2,Hamburger SV
Fabio Baldé,20.07.2005,20,Portugal,182,75,10,0,1,0,0,0,01.07.2020,SC Vorwärts-Wacker 04,10,45,30.06.2029,No,Hamburger SV
Nicolas Capaldo,14.09.1998,27,Argentina,177,73,13,0,1,4,0,0,10.07.2025,RB Salzburg,13,24,30.06.2028,No,Hamburger SV
Jean-Luc Dompé,12.08.1995,30,Francia,170,65,11,2,0,0,0,0,18.08.2022,SV Zulte Waregem,11,7,N.D.,No,Hamburger SV
Fabio Vieira,30.05.2000,25,Portugal,170,58,10,1,3,1,1,1,01.09.2025,FC Arsenal,10,20,N.D.,No,Hamburger SV
Bakery Jatta,06.06.1998,27,Gambia,184,79,3,0,0,0,0,0,01.07.2016,Hamburger SV,19,18,30.06.2029,No,Hamburger SV
Albert Sambi Lokonga,22.10.1999,26,Bélgica,183,74,12,4,0,1,0,0,01.09.2025,FC Arsenal,12,6,30.06.2028,2,Hamburger SV
Jonas Meffert,04.09.1994,31,Alemania,186,76,4,0,0,0,0,0,01.07.2021,Holstein Kiel,5,23,30.06.2026,No,Hamburger SV
Immanuel Pherai,25.04.2001,24,Surinam,175,74,5,0,0,0,1,0,01.07.2023,Eintracht Braunschweig,6,10,30.06.2027,11,Hamburger SV
Nicolai Remberg,19.06.2000,25,Alemania,188,86,14,0,1,5,0,0,01.07.2025,Holstein Kiel,46,21,30.06.2028,No,Hamburger SV
Alexander Rössing-Lelesiit,20.01.2007,18,Noruega,184,69,8,0,1,0,1,0,03.02.2025,Lilleström SK,8,38,N.D.,No,Hamburger SV
Emir Sahiti,29.11.1998,27,Kosovo,174,65,2,0,0,0,0,0,30.08.2024,Hajduk Split,2,29,30.06.2027,7,Hamburger SV
Bilal Yalcinkaya,30.03.2006,19,Alemania,182,70,0,0,0,0,0,0,01.07.2017,FC St. Pauli,0,48,30.06.2027,No,Hamburger SV
Robert Glatzel,08.01.1994,31,Alemania,193,85,9,1,0,0,0,0,01.07.2021,1. FSV Mainz 05,22,9,30.06.2027,No,Hamburger SV
Ransford-Yeboah Königsdörffer,13.09.2001,24,Ghana,182,78,15,1,1,1,0,0,01.07.2022,Dynamo Dresden,15,11,30.06.2026,6,Hamburger SV
Rayan Philippe,23.10.2000,25,Francia,182,75,15,4,0,2,0,0,02.07.2025,Eintracht Braunschweig,15,14,30.06.2029,No,Hamburger SV
Yussuf Poulsen,15.06.1994,31,Dinamarca,192,84,8,1,0,3,0,0,13.07.2025,RB Leipzig,241,15,30.06.2027,86,Hamburger SV
Otto Stange,09.02.2007,18,Alemania,187,82,1,0,0,0,0,0,01.09.2025,Hamburger SV,1,49,30.06.2026,No,Hamburger SV
Frank Feller,07.01.2004,21,Alemania,183,74,2,0,0,0,0,0,01.07.2019,SGV Freiberg Fußball,2,40,30.06.2029,No,1 FC Heidenheim
Kevin Müller,15.03.1991,34,Alemania,190,90,0,0,0,0,0,0,01.07.2015,Energie Cottbus,67,1,30.06.2027,No,1 FC Heidenheim
Diant Ramaj,19.09.2001,24,Alemania,189,81,15,0,0,1,0,0,28.07.2025,Borussia Dortmund,17,41,30.06.2026,No,1 FC Heidenheim
Paul Tschernuth,20.01.2002,23,Austria,186,84,0,0,0,0,0,0,28.09.2020,USC Eugendorf,17,34,30.06.2027,No,1 FC Heidenheim
Marnon Busch,08.12.1994,31,Alemania,182,80,15,0,2,1,0,0,01.07.2017,TSV 1860 München,63,2,30.06.2027,No,1 FC Heidenheim
Jonas Föhrenbach,26.01.1996,29,Alemania,184,81,15,1,1,1,0,0,01.07.2019,Jahn Regensburg,78,19,30.06.2027,No,1 FC Heidenheim
Benedikt Gimber,19.02.1997,28,Alemania,187,85,10,0,0,3,0,0,01.07.2023,Jahn Regensburg,66,5,30.06.2028,No,1 FC Heidenheim
Thomas Keller,05.08.1999,26,Alemania,186,80,4,0,0,1,0,0,01.07.2022,FC Ingolstadt 04,12,27,30.06.2028,No,1 FC Heidenheim
Adam Kölle,28.04.2006,19,Alemania,195,91,5,1,0,1,0,0,01.07.2022,SSV Reutlingen Fußball,5,28,30.06.2029,No,1 FC Heidenheim
Patrick Mainka,06.11.1994,31,Alemania,194,86,15,1,1,1,0,0,01.07.2018,Borussia Dortmund,83,6,30.06.2029,No,1 FC Heidenheim
Leart Pacarada,08.10.1994,31,Kosovo,184,76,1,0,0,0,0,0,28.08.2025,1. FC Köln,18,32,30.06.2027,34,1 FC Heidenheim
Tim Siersleben,09.03.2000,25,Alemania,187,80,11,0,0,1,0,0,01.07.2021,VfL Wolfsburg,42,4,30.06.2028,No,1 FC Heidenheim
Omar Haktab Traoré,04.02.1998,27,Alemania,187,78,15,0,2,2,0,0,01.07.2023,VfL Osnabrück,76,23,30.06.2026,No,1 FC Heidenheim
Adrian Beck,09.06.1997,28,Alemania,185,80,12,0,0,0,0,0,01.07.2022,SSV Ulm 1846 Fußball,67,21,30.06.2028,No,1 FC Heidenheim
Sirlord Conteh,09.07.1996,29,Alemania,178,78,5,1,1,1,0,0,01.07.2024,SC Paderborn 07,34,31,30.06.2027,No,1 FC Heidenheim
Niklas Dorsch,15.01.1998,27,Alemania,178,76,14,0,0,0,0,0,30.08.2024,FC Augsburg,100,30,30.06.2028,No,1 FC Heidenheim
Mathias Honsak,20.12.1996,29,Austria,188,78,12,0,0,0,0,0,01.07.2024,SV Darmstadt 98,57,17,30.06.2027,1,1 FC Heidenheim
Arijon Ibrahimovic,11.12.2005,20,Alemania,176,70,15,0,2,1,0,0,01.07.2025,Lazio Rom,17,22,30.06.2026,No,1 FC Heidenheim
Luca Kerber,10.03.2002,23,Alemania,180,77,9,0,0,2,0,0,01.07.2024,1. FC Saarbrücken,32,20,30.06.2027,No,1 FC Heidenheim
Julian Niehues,17.04.2001,24,Alemania,195,89,11,0,0,0,0,0,01.07.2024,1. FC Kaiserslautern,19,16,30.06.2027,No,1 FC Heidenheim
Nick Rothweiler,16.06.2006,19,Alemania,190,84,0,0,0,0,0,0,01.07.2022,SC Pfullendorf,19,33,30.06.2027,No,1 FC Heidenheim
Jan Schöppner,12.06.1999,26,Alemania,190,78,14,1,0,4,0,0,05.08.2020,SC Verl,73,3,30.06.2028,No,1 FC Heidenheim
Mikkel Kaufmann,03.01.2001,24,Dinamarca,189,91,9,1,1,2,0,0,01.07.2025,Karlsruher SC,36,29,30.06.2028,No,1 FC Heidenheim
Marvin Pieringer,04.10.1999,26,Alemania,191,83,9,1,0,1,0,0,03.07.2023,SC Paderborn 07,71,18,30.06.2027,No,1 FC Heidenheim
Stefan Schimmer,28.04.1994,31,Alemania,185,87,10,4,1,1,0,0,06.08.2019,SpVgg Unterhaching,39,9,30.06.2026,No,1 FC Heidenheim
Yannik Wagner,09.05.2007,18,Alemania,182,73,3,0,0,0,0,0,01.07.2023,Offenburger FV,3,38,30.06.2029,No,1 FC Heidenheim
Budu Zivzivadze,10.03.1994,31,Georgia,189,85,8,1,0,0,0,1,03.01.2025,Karlsruher SC,23,11,30.06.2029,40,1 FC Heidenheim
Leonardo Scienza,13.09.1998,27,Brasil,175,68,2,1,0,0,0,0,01.09.2025,1. FC Heidenheim,27,8,N.D.,No,1 FC Heidenheim
Tobias Weigel,26.04.2007,18,Alemania,N.D.,N.D.,1,0,0,0,0,0,01.07.2016,1. FC Heidenheim,1,0,N.D.,No,1 FC Heidenheim
Peter Gulacsi,06.05.1990,35,Hungría,191,86,14,0,0,0,0,0,01.07.2015,RB Salzburg,260,1,30.06.2026,58,RB Leipzig
Maarten Vandevoordt,26.02.2002,23,Bélgica,192,84,0,0,0,0,0,0,01.07.2024,KRC Genk,6,26,30.06.2029,0,RB Leipzig
Leopold Zingerle,10.04.1994,31,Alemania,185,78,0,0,0,0,0,0,01.07.2023,SC Paderborn 07,28,25,30.06.2026,No,RB Leipzig
Ridle Baku,08.04.1998,27,Alemania,176,77,12,0,2,3,0,0,10.01.2025,VfL Wolfsburg,228,17,30.06.2027,8,RB Leipzig
El Chadaille Bitshiabu,16.05.2005,20,Francia,196,95,2,0,0,0,0,0,18.07.2023,Paris St. Germain,29,5,30.06.2029,No,RB Leipzig
Max Finkgräfe,27.03.2004,21,Alemania,183,77,2,0,0,0,0,0,03.07.2025,1. FC Köln,26,35,30.06.2030,No,RB Leipzig
Benjamin Henrichs,23.02.1997,28,Alemania,183,79,0,0,0,0,0,0,15.07.2020,AS Monaco,175,39,30.06.2028,19,RB Leipzig
Lukas Klostermann,03.06.1996,29,Alemania,187,88,4,0,0,0,0,0,22.08.2014,VfL Bochum,202,16,30.06.2028,22,RB Leipzig
Castello Lukeba,17.12.2002,23,Francia,184,83,13,1,0,0,0,0,11.08.2023,Olympique Lyon,68,23,30.06.2029,1,RB Leipzig
Bungi Joyeux Masanka,24.01.2007,,Bélgica,186,78,0,0,0,0,0,0,N.A.,N.A.,68,42,N.D.,No,RB Leipzig
Kosta Nedeljkovic,16.12.2005,20,Serbia,185,75,4,0,0,0,0,0,03.02.2025,Aston Villa,14,19,30.06.2026,8,RB Leipzig
Willi Orban,03.11.1992,33,Hungría,186,88,14,0,0,2,0,0,01.07.2015,1. FC Kaiserslautern,242,4,30.06.2027,64,RB Leipzig
David Raum,22.04.1998,27,Alemania,181,82,14,2,2,4,0,0,31.07.2022,TSG Hoffenheim,127,22,30.06.2027,34,RB Leipzig
Ezechiel Banzuzi,16.02.2005,20,Países Bajos,192,88,12,0,1,2,0,0,01.07.2025,OH Leuven,12,6,30.06.2030,No,RB Leipzig
Christoph Baumgartner,01.08.1999,26,Austria,180,73,14,6,6,4,0,0,01.07.2023,TSG Hoffenheim,198,14,30.06.2028,56,RB Leipzig
Viggo Gebel,22.11.2007,18,Alemania,174,69,1,0,0,0,0,0,01.07.2019,SV Leipzig Nordwest,1,47,N.D.,No,RB Leipzig
Amadou Haidara,31.01.1998,27,Malí,175,72,0,0,0,0,0,0,01.01.2019,RB Salzburg,159,8,30.06.2026,48,RB Leipzig
Kevin Kampl,09.10.1990,35,Eslovenia,178,66,3,0,0,0,0,0,31.08.2017,Bayer 04 Leverkusen,270,44,30.06.2026,28,RB Leipzig
Andrija Maksimovic,05.06.2007,18,Serbia,181,66,5,0,0,0,0,0,16.07.2025,Roter Stern Belgrad,5,33,N.D.,8,RB Leipzig
Antonio Nusa,17.04.2005,20,Noruega,180,72,12,1,2,0,0,0,13.08.2024,Club Brügge,37,7,30.06.2029,20,RB Leipzig
Assan Ouedraogo,09.05.2006,19,Alemania,191,84,11,3,3,0,0,0,01.07.2024,FC Schalke 04,14,20,30.06.2029,1,RB Leipzig
Xaver Schlager,28.09.1997,28,Austria,174,76,10,1,0,2,0,0,01.07.2022,VfL Wolfsburg,134,24,30.06.2026,49,RB Leipzig
Nicolas Seiwald,04.05.2001,24,Austria,179,79,14,0,1,0,0,0,01.07.2023,RB Salzburg,65,13,30.06.2028,44,RB Leipzig
Johan Bakayoko,20.04.2003,22,Bélgica,176,80,12,2,0,1,0,0,16.07.2025,PSV Eindhoven,12,9,30.06.2030,18,RB Leipzig
Yan Diomande,14.11.2006,19,Costa de Marfil,181,77,14,6,3,2,0,0,16.07.2025,CD Leganes,14,49,30.06.2030,4,RB Leipzig
Tidiam Gomis,08.08.2006,19,Francia,183,71,6,1,0,0,0,0,03.02.2025,SM Caen,14,27,30.06.2029,No,RB Leipzig
Conrad Harder,07.04.2005,20,Dinamarca,185,82,12,1,2,3,0,0,01.09.2025,Sporting Lissabon,12,11,30.06.2030,1,RB Leipzig
Romulo,08.02.2002,23,Brasil,193,79,10,4,4,0,0,0,15.08.2025,Göztepe Izmir,10,40,30.06.2030,No,RB Leipzig
Timo Werner,06.03.1996,29,Alemania,180,76,2,0,0,0,0,0,01.07.2025,Tottenham Hotspur,259,36,30.06.2026,57,RB Leipzig
Xavi Simons,21.04.2003,22,Países Bajos,179,70,1,0,0,0,0,0,29.08.2025,RB Leipzig,58,10,N.D.,32,RB Leipzig
Samba Konaté,27.02.2009,16,Francia,N.D.,N.D.,1,0,0,0,0,0,01.07.2025,RB Leipzig,1,45,N.D.,No,RB Leipzig
Lois Openda,16.02.2000,25,Bélgica,177,79,2,0,0,0,0,0,01.09.2025,RB Leipzig,69,11,N.D.,31,RB Leipzig
Noah Atubolu,25.05.2002,23,Alemania,191,98,15,0,0,0,0,0,01.07.2015,Freiburger FC,75,1,N.D.,No,SC Freiburg
Jannik Huth,15.04.1994,31,Alemania,185,86,0,0,0,0,0,0,01.07.2024,SC Paderborn 07,13,24,30.06.2026,No,SC Freiburg
Florian Müller,13.11.1997,28,Alemania,191,88,0,0,0,0,0,0,01.07.2023,VfB Stuttgart,131,21,N.D.,No,SC Freiburg
Matthias Ginter,19.01.1994,31,Alemania,191,89,15,0,3,1,0,0,01.07.2022,Bor. Mönchengladbach,395,28,N.D.,51,SC Freiburg
Christian Günter,28.02.1993,32,Alemania,185,83,10,0,2,1,0,0,01.07.2007,FV Tennenbronn,356,30,30.06.2026,8,SC Freiburg
Anthony Jung,03.11.1991,34,Alemania,186,90,6,0,0,2,0,0,01.07.2025,Werder Bremen,115,5,30.06.2026,No,SC Freiburg
Lukas Kübler,30.08.1992,33,Alemania,182,78,12,2,1,2,0,0,01.07.2015,SV Sandhausen,188,17,N.D.,No,SC Freiburg
Philipp Lienhart,11.07.1996,29,Austria,189,86,11,0,1,1,1,0,05.07.2017,Real Madrid,200,3,N.D.,38,SC Freiburg
Jordy Makengo,03.08.2001,24,Francia,191,81,9,0,0,1,0,0,01.07.2021,AJ Auxerre,48,33,N.D.,No,SC Freiburg
Bruno Ogbus,17.12.2005,20,Suiza,185,86,0,0,0,0,0,0,01.07.2022,Grasshopper Club Zürich,2,43,N.D.,No,SC Freiburg
Max Rosenfelder,10.02.2003,22,Alemania,187,85,7,0,0,0,0,0,01.07.2014,Eintracht Freiburg,32,37,N.D.,No,SC Freiburg
Philipp Treu,03.12.2000,25,Alemania,173,72,12,1,1,0,0,0,01.07.2025,FC St. Pauli,45,29,N.D.,No,SC Freiburg
Niklas Beste,04.01.1999,26,Alemania,175,66,10,0,2,2,0,0,31.01.2025,Benfica Lissabon,53,19,N.D.,No,SC Freiburg
Maximilian Eggestein,08.12.1996,29,Alemania,183,83,15,2,0,2,0,0,18.08.2021,Werder Bremen,299,8,N.D.,0,SC Freiburg
Vincenzo Grifo,07.04.1993,32,Italia,180,77,15,5,1,0,0,0,02.09.2019,TSG Hoffenheim,288,32,N.D.,9,SC Freiburg
Nicolas Höfler,09.03.1990,35,Alemania,182,81,4,0,0,0,0,0,01.07.2013,Erzgebirge Aue,284,27,30.06.2026,No,SC Freiburg
Daniel-Kofi Kyereh,08.03.1996,29,Ghana,178,80,12,2,0,2,0,0,01.07.2022,FC St. Pauli,12,11,30.06.2026,18,SC Freiburg
Johan Manzambi,14.10.2005,20,Suiza,183,79,13,3,4,3,0,1,26.01.2023,Servette FC,24,44,N.D.,8,SC Freiburg
Patrick Osterhage,01.02.2000,25,Alemania,187,80,10,1,0,2,0,0,01.07.2024,VfL Bochum,100,6,N.D.,No,SC Freiburg
Yuito Suzuki,25.10.2001,24,Japón,175,71,10,2,2,0,0,0,01.07.2025,Bröndby IF,10,14,N.D.,4,SC Freiburg
Junior Adamu,06.06.2001,24,Austria,183,79,9,1,1,1,0,0,01.07.2023,RB Salzburg,49,20,N.D.,9,SC Freiburg
Eren Dinkci,13.12.2001,24,Turquía,188,80,8,0,0,1,0,0,01.07.2024,1. FC Heidenheim,89,18,N.D.,0,SC Freiburg
Lucas Höler,10.07.1994,31,Alemania,184,82,14,1,2,0,0,0,01.01.2018,SV Sandhausen,245,9,N.D.,No,SC Freiburg
Cyriaque Irié,20.06.2005,20,Burkina Faso,186,87,1,0,0,1,0,0,01.07.2025,ES Troyes AC,1,22,N.D.,7,SC Freiburg
Igor Matanovic,31.03.2003,22,Croacia,195,93,12,2,0,0,0,0,09.07.2025,Eintracht Frankfurt,28,31,N.D.,7,SC Freiburg
Maximilian Philipp,01.03.1994,31,Alemania,183,84,0,0,0,0,0,0,21.08.2023,VfL Wolfsburg,171,26,30.06.2026,No,SC Freiburg
Derry Scherhant,10.11.2002,23,Alemania,186,82,13,3,1,0,0,0,01.07.2025,Hertha BSC,23,7,N.D.,No,SC Freiburg
Merlin Röhl,05.07.2002,23,Alemania,192,81,2,0,0,0,0,0,01.09.2025,SC Freiburg,48,34,N.D.,No,SC Freiburg
Oliver Baumann,02.06.1990,35,Alemania,187,82,15,0,0,0,0,0,01.07.2014,SC Freiburg,504,1,30.06.2028,10,TSG Hoffenheim
Lukas Petersson,09.02.2004,21,Islandia,195,96,0,0,0,0,0,0,01.07.2015,Tennis Borussia Berlin,0,36,30.06.2027,0,TSG Hoffenheim
Luca Philipp,28.11.2000,25,Alemania,192,83,0,0,0,0,0,0,01.07.2013,SGV Freiberg Fußball,6,37,30.06.2026,No,TSG Hoffenheim
Kevin Akpoguma,19.04.1995,30,Nigeria,192,85,2,0,0,0,0,0,01.07.2019,Hannover 96,173,25,30.06.2026,8,TSG Hoffenheim
Arthur Chaves,29.01.2001,24,Brasil,188,78,4,0,0,1,0,0,30.08.2024,Academico Viseu,30,35,30.06.2029,No,TSG Hoffenheim
Bernardo,14.05.1995,30,Brasil,186,77,14,0,0,5,0,0,01.07.2025,VfL Bochum,108,13,N.D.,No,TSG Hoffenheim
Vladimir Coufal,22.08.1992,33,República Checa,174,76,15,1,4,1,0,0,05.08.2025,West Ham United,15,34,30.06.2026,59,TSG Hoffenheim
Valentin Gendrey,21.06.2000,25,Francia,179,75,2,0,0,0,0,0,27.08.2024,US Lecce,24,15,30.06.2028,No,TSG Hoffenheim
Albian Hajdari,18.05.2003,22,Kosovo,189,80,13,1,0,5,0,0,25.08.2025,FC Lugano,13,21,30.06.2029,3,TSG Hoffenheim
Robin Hranac,29.01.2000,25,República Checa,190,85,15,0,0,3,0,0,25.08.2024,Viktoria Pilsen,19,2,30.06.2028,10,TSG Hoffenheim
Ozan Kabak,25.03.2000,25,Turquía,187,85,7,1,0,0,0,0,23.07.2022,FC Schalke 04,120,5,30.06.2026,26,TSG Hoffenheim
Koki Machida,25.08.1997,28,Japón,190,80,1,0,0,1,0,0,01.07.2025,Union Saint-Gilloise,1,28,N.D.,17,TSG Hoffenheim
Alexander Prass,26.05.2001,24,Austria,180,72,13,0,1,0,0,0,05.08.2024,Sturm Graz,36,22,30.06.2028,16,TSG Hoffenheim
Leon Avdullahu,23.02.2004,21,Kosovo,185,79,15,0,1,2,0,0,01.07.2025,FC Basel,15,7,30.06.2029,5,TSG Hoffenheim
Wouter Burger,16.02.2001,24,Países Bajos,191,83,14,3,5,2,0,0,22.07.2025,Stoke City,14,18,30.06.2030,No,TSG Hoffenheim
Muhammed Damar,09.04.2004,21,Alemania,185,73,8,0,0,0,0,0,01.07.2025,SV Elversberg,14,10,30.06.2029,No,TSG Hoffenheim
Dennis Geiger,10.06.1998,27,Alemania,173,67,20,0,0,4,0,0,01.07.2009,SV Alemannia Sattelbach,125,8,30.06.2027,No,TSG Hoffenheim
Andrej Kramaric,19.06.1991,34,Croacia,177,73,15,3,3,1,0,0,19.01.2016,Leicester City,301,27,30.06.2026,112,TSG Hoffenheim
Florian Micheler,17.05.2005,20,Austria,185,85,0,0,0,0,0,0,01.01.2026,Arminia Bielefeld,1,0,N.D.,No,TSG Hoffenheim
Grischa Prömel,09.01.1995,30,Alemania,180,75,15,5,3,2,0,0,01.07.2022,1. FC Union Berlin,132,6,30.06.2026,0,TSG Hoffenheim
Fisnik Asllani,08.08.2002,23,Kosovo,188,81,15,6,2,1,0,0,01.07.2025,SV Elversberg,25,11,30.06.2029,12,TSG Hoffenheim
Ihlas Bebou,23.04.1994,31,Ir,185,80,9,0,0,0,0,0,01.07.2019,Hannover 96,195,9,30.06.2026,38,TSG Hoffenheim
Mergim Berisha,11.05.1998,27,Alemania,188,81,13,1,1,2,0,0,01.07.2025,FC Augsburg,44,32,30.06.2027,2,TSG Hoffenheim
Adam Hlozek,25.07.2002,23,República Checa,188,74,3,0,0,0,0,0,17.08.2024,Bayer 04 Leverkusen,82,23,30.06.2029,41,TSG Hoffenheim
Tim Lemperle,05.02.2002,23,Alemania,186,78,14,5,2,1,0,0,01.07.2025,1. FC Köln,40,19,30.06.2029,No,TSG Hoffenheim
Max Moerstedt,15.01.2006,19,Alemania,194,77,9,0,0,1,0,0,01.02.2021,Bayern München,22,33,30.06.2027,No,TSG Hoffenheim
Bazoumana Touré,02.03.2006,19,Costa de Marfil,175,70,14,2,5,1,0,0,01.02.2025,Hammarby IF,27,29,30.06.2029,2,TSG Hoffenheim
Umut Tohumcu,11.08.2004,21,Alemania,175,71,5,0,0,2,0,0,02.01.2026,TSG Hoffenheim,46,17,30.06.2026,No,TSG Hoffenheim
Fabian Bredlow,02.03.1995,30,Alemania,190,87,0,0,0,0,0,0,01.07.2019,1. FC Nürnberg,37,1,30.06.2027,No,VfB Stuttgart
Stefan Drljaca,20.04.1999,26,Alemania,193,89,0,0,0,0,0,0,01.07.2024,Dynamo Dresden,0,21,30.06.2027,No,VfB Stuttgart
Alexander Nübel,30.09.1996,29,Alemania,193,86,15,0,1,0,0,0,25.07.2023,Bayern München,126,33,30.06.2026,2,VfB Stuttgart
Ameen Al-Dakhil,06.03.2002,23,Bélgica,188,81,7,0,0,1,0,0,27.08.2024,FC Burnley,14,2,30.06.2028,6,VfB Stuttgart
Lorenz Assignon,22.06.2000,25,Francia,181,77,9,0,0,2,0,1,01.07.2025,Stade Rennes,9,22,30.06.2029,No,VfB Stuttgart
Jeff Chabot,12.02.1998,27,Alemania,195,95,12,0,0,0,0,0,01.07.2024,1. FC Köln,100,24,30.06.2028,No,VfB Stuttgart
Ramon Hendriks,18.07.2001,24,Países Bajos,189,83,12,0,0,1,0,0,01.07.2024,Vitesse Arnheim,37,3,30.06.2028,No,VfB Stuttgart
Luca Jaquez,02.06.2003,22,Suiza,187,80,5,0,1,1,0,0,03.02.2025,FC Luzern,10,14,30.06.2029,1,VfB Stuttgart
Finn Jeltsch,17.07.2006,19,Alemania,187,86,9,0,1,2,0,0,03.02.2025,1. FC Nürnberg,21,29,30.06.2030,No,VfB Stuttgart
Maximilian Mittelstädt,18.03.1997,28,Alemania,180,71,14,2,3,2,0,0,01.07.2023,Hertha BSC,221,7,30.06.2028,15,VfB Stuttgart
Pascal Stenzel,20.03.1996,29,Alemania,183,78,2,0,0,2,0,0,01.07.2019,SC Freiburg,151,15,30.06.2026,No,VfB Stuttgart
Leonidas Stergiou,03.03.2002,23,Suiza,181,75,0,0,0,0,0,0,22.08.2023,FC St. Gallen 1879,27,20,30.06.2028,6,VfB Stuttgart
Josha Vagnoman,11.12.2000,25,Alemania,190,90,13,1,1,2,0,0,09.07.2022,Hamburger SV,81,4,30.06.2028,1,VfB Stuttgart
Dan-Axel Zagadou,03.06.1999,26,Francia,196,90,2,0,1,0,0,0,19.09.2022,Borussia Dortmund,107,23,30.06.2026,No,VfB Stuttgart
Chema,25.04.2005,20,España,190,82,10,1,0,1,0,0,27.07.2025,Real Madrid,10,30,30.06.2030,No,VfB Stuttgart
Noah Darvich,25.09.2006,19,Alemania,184,73,0,0,0,0,0,0,01.07.2025,FC Barcelona,0,19,30.06.2029,No,VfB Stuttgart
